1100,52.469,57.4891,53.7587,54.7449,60.407,57.7062,50,56.2939,62.514,51.4782,56.1427,65.7647,56.0089,51.4198,58.5235,60.6712,58.8727,50.5371,63.1506,63.1506,58.3095,52.8015,64.5368,50,51.4782,59.0339,44.7214,56.8507,50.04,58.8558,54.1295,46.0435,57.0351,49.0918,51.6624,56.5685,53.4509,48.5077,51.0392,56.0892,50.3587,54.6443,57.2189,49.3964,48.0833,57.3847,54.3415,55.0273,52.3259,56.5685,46.8402,51.2445,60.7289,47.1699,51.3517,53.3385,47.5395,50,50.3587,47.0425,56.1427,49.0102,52.0096,53.7587,51.4198,48.0416,49.93,52.811,50.9902,49.0408,55.1543,52.0384,54.0833,51.6236,51.9711,47.0956,51.4198,50.01,46.3249,51.0882,50.9215,42.2966,44,40.8044,40.7185,41.2311,36.6197,43.2897,45,58.5235,39.0512,39.6232,49.5782,43.9318,32.0156,43.4166,41.0488,37.5766,44.1475,43.382
1200,54.4518,61.3922,55.9732,57.0351,64.195,60.4152,53.0094,57.7235,67.2681,54.5711,56.8243,67.2681,57.0351,55.4617,59.6657,65.9242,62.9365,52.3259,64.1327,68.0661,59.3043,57.2713,65.9697,52.4786,55.6597,62.0322,46.1411,59.6657,54.0833,60.0167,56.5685,49.6488,58.3095,52,56.2939,59.4138,59.808,51.0392,52.8394,59.203,54.4518,56.0357,58.2495,52.469,51,58.5918,55.5428,60.0833,56.356,58.8558,47.8017,54.7083,62.6418,49.8197,52.345,57.5587,50.6952,54.8179,51.3517,50,58.1378,55.0091,55.4437,55.3624,54.1295,49.0408,51.8845,54.1479,51.6624,54.0093,62.2977,55.0364,58.0775,53.9351,54.2033,47.1699,53.6004,53.9351,50.2195,53.0094,55.0273,45.1774,46.1736,46.5725,43.6578,42.2019,39.5601,45.7056,47.2017,60.7289,41.1096,42.7551,53.1507,46.8722,33.7343,43.6005,42.2019,41.2311,45.1774,45.1885
1300,55.4437,65.5134,57.8705,60.1332,67.0522,65.307,56.0089,60.8769,69.2604,55.9017,60.8276,69.8713,60.075,58.0345,63.6003,69.4622,64.56,57.2451,66.6108,75.1332,60.6712,59.6657,67.9117,56.0357,56.3028,64.0312,48.6621,62.426,59.0762,63.3246,59.5399,51.4782,61.6604,55.1453,58.2495,60.407,61.6847,54.037,53.2353,62.3618,56.3205,58.0517,59.2284,55.4437,54,62.1772,57.28,63.2456,59.0593,59.8415,50.2195,56.9386,64.0312,51.3517,55.0364,60.407,53.2353,56.5155,52.811,51.6236,59.3043,59.0085,56.0803,56.6127,56.2939,50.2494,54.5619,57.8705,53.7122,59.0085,65.4599,56.0803,59.0762,59.0339,54.2033,50.04,54.8179,55.9017,53.8238,54.3323,59.203,50.1597,48.0937,50.9608,44.5982,45.1221,41.1096,46.5296,48.8365,66.4831,43.1045,48.5077,56.0803,49.0306,35.5106,47.4342,43.6005,41.7852,47.676,46.5296
1400,57.7062,68.0661,59.9333,62.6498,69.5701,68.0294,60.0083,63.0635,70.2567,58.2495,63.9531,74.2428,62.0322,61.2046,64.56,71.3442,67.2309,60.3738,70.859,78.0897,62.0322,61.6117,68.884,61.0328,57.2451,66.0303,52.6118,63.6003,60.075,65.1153,63.7887,53.1507,65.9242,56.648,62.3618,62.514,62.7694,56.0803,55.3263,65.7343,58.6941,61.9839,61.131,62.514,56.0803,66.7308,58.2409,67.6757,59.1692,63.1269,54.5711,62.3618,65.4599,52.8015,58.0775,63.9531,55.9464,57.4891,54.4518,56.1427,60.2993,63.0317,57.3847,58.5235,60.208,51.1566,56.356,60.0833,55.5428,63.0079,68.0074,59.0085,60.1332,63.7887,55.9017,51.3517,56.5685,58.8558,53.8238,58.0345,59.7746,51.1566,50.0899,52.5547,47.1699,46.0977,42.2966,47.5184,49.679,68.0074,46.1736,50.8035,57.6281,52.3927,37.2156,49.2037,45.2217,43.4166,48.6621,47.8853
1500,59.5399,71.3863,61.9839,65.2763,72.4224,68.4471,61.0082,66.7608,72.2496,60.4152,67.9779,76.531,62.434,64.4981,70.0928,71.5681,71.8679,62.6099,73.5459,80.2309,64.1249,62.8172,71.3092,61.8466,60.6383,68.1175,54.4518,66.4003,63.1981,67.082,67.082,56.7186,68.0661,57.9396,68.4105,65.192,65.8027,58.2151,58.2151,66.7083,61.0328,62.9682,65.0692,64.6297,58.0775,68.2642,61.4003,70.5195,61.2944,65.0692,58.6941,64.56,67.4166,55.9017,60.1332,66.9104,58.6686,59.6657,56.4358,59.0339,62.0322,66.0303,59.4643,59.4811,61.3922,53.2353,59.1354,61.0082,57.28,65.0308,69.9214,61.131,62.2013,66.7533,57.0088,53.4603,58.0517,60.0167,57.6888,60.0333,62.6418,52.469,51.8845,55.3624,48.7032,49.4773,45.1774,49.366,50.9902,72.5328,48.1664,54.7449,59.203,54.3415,38.1182,50.6063,45.607,45.3982,50.01,47.8853
1600,63.0317,75.3127,63.9531,69.2604,73.736,69.857,63.0317,67.72,77.5242,63.561,69.7782,77.2334,67.0298,66.1211,70.6045,73.7564,76.6942,64.405,73.5459,81.7863,66.0303,67.2681,73.0068,64.7611,62.8013,71.1126,57.4282,70.214,64.195,70.859,68.0661,59.0339,70.406,60.8276,73.2462,70.3491,69.2604,60.8276,61.2046,67.2681,64.0078,68.6586,71.1126,67.7422,60.1332,72.111,62.3618,72.2357,64.6375,67.1193,59.2284,65.146,69.2892,57.8014,64.0312,69.8713,60.5392,61.3922,58.1378,61,63.0317,67.0298,60.208,61.9839,64.3273,55.2268,60.208,63.1269,61.5549,69.0072,74.2159,63.0714,62.3939,68.7314,58.6941,58.3095,59.439,61.9839,58.8218,63.0714,63.6003,54.5894,55.5698,57.5847,52.4976,50.448,49.0408,51.6236,53.1507,73.7631,49.0408,56.7186,61.4003,56.2939,41.1825,51.8556,47.5079,47.5184,52.7731,50.5668
1700,65.0692,77.4661,65.8635,72.2496,75.8947,75.2396,66.1211,72.2772,81.0494,66.2193,72.0902,81.2219,70.0643,69.029,73.7631,76.4853,80.2309,68.4471,75.4321,84.9294,72.0278,70.214,75.9276,68.1542,65.146,71.1126,58.6941,72.0069,68.2642,73.8241,71.1969,59.0339,72.1803,62.8013,74.2159,72.3395,72.111,61.8142,63.1981,72.1803,67.0075,72.5672,74.027,69.7209,64.2806,73.5731,63.0317,74.0945,65.4599,70.1142,62.0967,66.7308,71.1688,59.0762,67.0671,72.6911,63.8122,62.7694,61.0737,61.0737,64.0312,68.0294,61.5549,64.195,66.4906,57.0088,64.2806,66.0303,65.7647,73.0068,76.1577,64.0703,63.6396,71.3092,59.3043,59.3043,65.7343,61.9839,60.4649,65.123,65.9242,56.4358,58.3095,59.5063,53.7587,54.1295,50.04,51.788,55.2268,76.243,51.0392,57.8705,61.4003,57.2713,42.9535,53.1507,48.9183,48.6621,54.7449,51.4782
1800,68.1836,78.6448,67.9117,74.108,78.1089,78.7909,67.3647,73.4983,82.0366,68.2495,76.0592,81.2219,70.214,73.0274,80.0812,76.4853,83.1925,72.4983,77.801,88.295,76.0066,72.0069,78.8543,69.1809,68.2495,73.171,60.6712,75.213,69.1809,76.9415,73.0068,60.8276,73.0068,64.7765,76.1577,73.3348,74,67.082,65.192,73.7564,68.0074,72.5672,74.027,70.7107,69.1809,76.8505,65.146,75.6108,66.2193,71.0634,64.9384,70.5195,71.4703,60.2163,68.1175,76.6551,65.5134,66.888,62.3939,62.6418,66.1211,70.0286,63.6553,66.7608,67.9117,60.075,65.192,69.1158,67.2086,78.0064,77.1298,66.0681,64.3817,72.8011,61.2046,61.2046,68.4105,62.5859,62.6817,67.0298,68.4251,56.4358,58.3095,61.2699,56.6127,56.2939,51.1566,55.4437,57.4891,78.1601,52.0384,58.8558,62.9365,58.9406,45.1885,55.8659,49.679,50.3289,54.8179,52.8015
1900,71.2531,82.9759,70.214,75.1665,79.712,80.6226,72.0278,75.4321,83.863,69.2315,77.0584,83.2406,71.4003,75.0267,85.7263,80.895,83.9345,76.0592,80.2309,91.9837,78.0577,75.8024,79.6241,71.5681,69.2604,79.1581,62.0081,80.604,70.1783,80.0625,73.9797,64.9384,77.3692,66.7533,77.7946,74.3303,77.7946,70.0357,67.2086,76.9025,71.0634,73.5459,77.0065,70.7107,70.0643,78.8923,67.1863,81.1542,69.2026,74.0608,69.2315,72.4224,72.4224,62.426,72.0625,79.7621,68.3081,68.2642,66.6108,63.1981,66.2722,71.3442,67.2681,68.352,69.857,60.1332,67.1863,71.1126,68.0147,83,79.3095,68.0294,67.3647,75.2861,65.5515,62.3939,70.406,63.561,62.9682,68.1836,69.3181,56.4358,59.3633,64.405,59.7746,60.208,53.0377,57.5587,59.6657,82.28,56.0357,60.531,65.0692,59.439,48.0208,57.28,51.1566,52.5547,58.6941,53.7122
2000,73.3348,84.5281,74.1485,77.1622,82.28,85.6154,72.0278,78.1025,83.863,71.1969,79.3095,85.8662,73.4302,78.0577,90.1388,81.3941,86.406,82.4621,82.0061,95.901,81.0247,75.8024,81.7863,74.1687,72.8011,81.1542,66.0076,85.703,71.2531,82.9759,78.1025,68.7314,79.0759,68.884,81.9085,76.2365,80.0062,73.5527,70.7107,78.5875,75.0267,75.3127,81,73.171,73.1095,80.7094,73.5459,82.0792,71.8401,76.0263,71.3863,76.6551,73.3757,64.6375,74.0068,80.7527,69.8928,69.9714,68.7314,67.0522,70.0357,75,68.7677,69.5701,72.3671,63,68.1836,76.0592,70.0071,84.0238,80.2808,73.171,68.3593,78.4474,66.3099,62.514,72.3671,65.192,65.192,69.1158,69.857,59.4138,61.4003,64.846,62.2977,62.3699,55.0273,58.5491,60.4401,84.2021,58.0775,61.9839,70.0928,60.6383,50.5668,57.3149,52.469,52.7731,59.9083,56.0803
2100,74.0608,85.3288,76.1183,80.1561,86.0349,89.6939,72.2011,80.6536,88.955,71.1969,82.2192,87.0919,76.0263,79.1012,91.0934,82.8734,90.4765,85.7963,83.2406,100.623,84,78.1601,85.5102,76.5376,75.4321,84.214,69.0072,89.3085,73.0274,85.6154,78.1025,69.7209,79.8311,71.1969,85.44,80.2247,80.0562,77.7817,70.7107,79.4292,77.1622,78.0897,87.023,76.1643,76.1052,82.9277,80.2808,83.006,74.027,78.0577,74.7329,77.6209,74.6324,66.2873,75.0267,84.8528,73.3757,71.0211,70.5762,71.007,71.8053,78.0064,69.527,70.5762,72.3671,65.0077,70.2567,79.0569,72.1249,86,81.7863,75.1665,68.7314,79.6994,66.8506,64.4981,74.5252,67.0671,65.7343,70.1142,71.5542,63.3877,63.5295,67.5426,63.5689,63.3482,56.921,60.208,61.6198,86.977,61.0737,65.4905,73,62.3699,50.5668,57.3149,55.1453,53.1413,62.9682,58.1808
2200,77.3175,88.2836,77.1038,82.2253,86.3771,91.5478,73.4983,83.5225,91.2414,73.0068,86.2844,87.3212,79,81,92.1141,85.7088,93.3006,86.8159,85.1587,102.591,88.0057,81.7435,88.6454,80.0999,79.3095,89.0898,70.0071,92.4392,75.452,87.3212,79.0759,71.5681,82.9759,72.45,88.3233,84.214,82.6378,80.6226,74.5453,81.6088,79.1012,81.0494,91.0494,78.1025,79.1581,84.8764,84.9294,85.235,74.8131,81.0555,75.71,80.7775,78.2943,68.2422,76.0263,85.3288,75.5844,73.0616,71.4493,71.5052,75.3127,79.0063,73.2462,73.1642,73.3485,66.0303,72.111,80.025,72.8354,88.0909,84.7231,81.1542,71.7008,80.6536,69.2892,66.3702,76.9415,68.0294,66.6408,70.4557,71.5542,64.4981,65.2993,67.5426,63.8905,64.7611,58.8218,63.1981,63.7024,90.1388,61.131,67.7422,75.2861,63.2456,52.9245,58.7282,55.1453,53.7587,65.7875,61.0983
2300,80.3057,89.2693,79.0759,84.1487,88.3912,93.984,75.1864,83.8153,94.7629,77.8781,87.2812,89.2693,80.025,83.0542,94.2444,89.6772,94.921,88.6397,87.1321,102.772,93,83.7257,90.6091,85.0941,79.555,90.0888,73.3348,95.0158,77.4726,89.4986,81.7435,72.6911,83.7437,76.2168,89.2861,85.2115,83.006,82.4924,77.5242,82.5651,80.1561,82.201,94.0053,80.0562,83.0241,86.267,86.885,85.6154,75.213,83.1505,77.666,81.7435,80.9506,68.2422,77.026,86.7006,77.4919,75.8024,74.1687,74.9667,76.2955,81.0062,75.6042,75.326,75.1864,68,76.0263,83.0542,74.2765,89.202,85.703,84.2912,72.6911,81.6088,70.5762,68.3593,80.6536,70.0357,69.3542,71.4493,72.45,68.593,66.6483,70.1783,64.846,65.1153,59.7746,64.195,64.5368,92.3472,64.0312,67.7422,75.2861,64.846,53.8516,60.208,57.1402,55.7853,66.8506,61.4654
2400,86.2844,91.0055,82.0366,86.4928,91.1811,95.8593,78.1025,85.4751,95.8853,81.2158,90.2718,90.7083,81.0987,85.1469,97.4064,91.6624,97.7394,90.802,89.8721,104.561,94,91.444,93.7443,88.0909,81.7435,94.0851,74.3303,97.7548,81.0555,91.2195,82.9699,76.531,87.0976,78.4474,90.956,87.2812,84.5044,86.1452,77.5242,83.1986,85.1469,85,97.0464,85.3756,84.006,91.8368,88.7694,87.4643,77.3692,85.0235,80.05,82.9759,81.9878,70.7107,80.025,88.6454,79.3788,76.6616,78.1601,77.1557,76.531,82.2192,78.2432,77.4145,75.1864,70.0071,76.0592,83.2166,76.3806,89.4539,86.6833,87.4643,72.6911,83.2406,72.0069,69.3542,83.1685,71.8471,69.857,74.3303,73.1642,70.5762,69.857,72.6705,66.7608,66.7083,62.2977,66.1211,65.1153,95.2103,65.192,67.7422,76.6942,65.192,55.1543,60.959,58.1378,57.7235,68.6222,62.3939
2500,88.278,94.0479,85,87.0057,92.1141,97.7394,82,88.6848,97.0155,85.1587,92.2659,91.6788,82.0731,86.1452,101.514,91.6624,97.8621,92.8493,92.0869,104.561,97,98.5089,97.6729,88.0909,83.2406,99.1262,77.4145,99.1262,84.309,93.4077,85.6154,78.3135,88.0738,78.6448,93.4077,87.367,86.7295,88.459,79.4292,85.5862,89.1403,85,98.0051,90.5539,86.0058,96.6075,91.6788,91.1811,79.3095,89,83.678,83.9524,84.5813,74.7061,83.0241,90.471,80.5233,79.177,79.2275,78.492,78.4092,82.4924,79.0253,79.404,78.0897,73.0068,80.0562,86.0058,78.492,91,88.8426,89.3588,72.8354,84.7703,73.4098,70.2567,84.119,72.0069,70.2638,76.3217,74.9466,70.7107,71.5891,73.4983,68.0074,70.6045,63.3246,67.1193,66.6108,96.8401,65.192,69.5845,78.7464,65.5515,57.4282,62.9365,59.1354,59.2284,69.5701,62.7694
